"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TNFRSF4",975.660831539884,2.63045454172213,0.468300663214849,5.61702074830356,1.94278101663373e-08,0.000332953810630688
"PTGDR2",83.7713068660999,3.58723916844505,0.672017564019409,5.33801400515396,9.39702019625966e-08,0.000662052768464649
"TNFRSF18",370.487723831964,1.7213308831054,0.324788045185567,5.2998591192663,1.15892070567975e-07,0.000662052768464649
"SNPH",309.264027325863,1.12880421669353,0.227381064343115,4.96437212111107,6.89236814370544e-07,0.0029530351311706
"PDE4D",22421.0375626564,1.30829740097055,0.268041313580357,4.8809542957949,1.05573709793792e-06,0.00325172704005985
"SPOCK1",6801.27317545627,1.52592794379781,0.315298895794005,4.83962349425653,1.30085337056275e-06,0.00325172704005985
"EIF3K",94.5582019027848,3.70321018775176,0.765839323685792,4.83549234574316,1.32816485473328e-06,0.00325172704005985
"TNFSF11",249.572465726391,2.48634731682943,0.5289127299039,4.70086495607922,2.59061803907813e-06,0.00554975149421513
"MYBPHL",41.9326380620806,-2.07754146113317,0.447404234163782,-4.64354447833107,3.42482220046614e-06,0.00595224936264376
"MIR3142HG",1085.11596702237,1.1058777299151,0.23830227354026,4.64065119264699,3.47312951490475e-06,0.00595224936264376
"RAB11FIP4",519.046501623863,0.872706751105024,0.199494479174681,4.37459098976302,1.21660370155341e-05,0.0173751285310186
"LIF",668.851532084484,2.07995092545758,0.47917041030608,4.34073323544533,1.42008043531614e-05,0.0187210296157292
"BACE2",444.195914116296,2.24373600483406,0.522105255203227,4.29747830054056,1.72752166123372e-05,0.0204671853283852
"PDE7B",16055.7754054767,1.49761092045053,0.349140486530158,4.28942210436305,1.79138627567848e-05,0.0204671853283852
"HORMAD2",277.412456600819,1.61501749029118,0.378626923126736,4.26545866562846,1.99491946358546e-05,0.020521659059632
"IL5",656.390477179636,2.8470542969563,0.669262212775741,4.25401919099577,2.09967294447826e-05,0.020521659059632
